date,excellent,fair
2019-05-25,100.0,0.0
2019-05-26,100.0,0.0
2019-05-27,70.69,29.31
2019-05-28,70.79,29.21
2019-05-29,100.0,0.0
2019-05-30,71.83,28.17
2019-05-31,80.56,19.44
