date,excellent,fair
2019-05-25,100.0,0.0
2019-05-26,100.0,0.0
2019-05-27,73.07,26.93
2019-05-28,90.14,9.86
2019-05-29,98.12,1.88
2019-05-30,73.61,26.39
2019-05-31,84.71,15.29
