hour,mean,std,min,max,count
0,22.98,0.69,21.62,24.57,506
1,22.88,0.68,21.49,24.42,499
2,22.79,0.65,21.36,24.29,521
3,22.67,0.63,21.28,24.11,517
4,22.59,0.63,21.2,23.95,529
5,22.48,0.64,21.1,24.03,535
6,22.36,0.62,20.98,24.29,520
7,21.88,0.69,20.71,23.78,513
8,21.79,0.69,20.6,23.81,528
9,21.81,0.83,20.4,23.85,513
10,21.85,0.96,20.12,23.99,526
11,21.83,1.13,20.09,24.23,499
12,22.03,1.24,19.98,24.49,525
13,22.24,1.22,20.12,24.76,512
14,22.45,1.27,20.49,25.18,502
15,22.7,1.41,20.5,26.17,505
16,22.72,1.55,20.69,26.12,541
17,22.54,1.74,20.42,26.25,526
18,22.18,1.88,20.02,26.21,525
19,22.57,1.53,20.28,26.09,546
20,23.05,1.07,21.18,25.69,521
21,23.15,0.9,21.4,25.32,542
22,23.11,0.79,21.31,25.01,526
23,23.02,0.74,21.25,24.81,544
