hour,mean,std,min,max,count
0,24.03,0.73,22.61,26.24,1574
1,23.99,0.71,22.49,26.17,1838
2,23.94,0.7,22.39,26.06,1812
3,23.87,0.7,22.3,25.97,1818
4,23.82,0.7,22.24,25.85,1826
5,23.77,0.7,22.16,25.8,1832
6,23.71,0.69,22.13,25.74,1841
7,23.43,0.67,22.02,25.65,1876
8,23.2,0.72,21.96,25.79,1889
9,23.34,0.8,22.04,26.09,1864
10,23.66,0.86,22.21,26.49,1868
11,23.95,0.95,22.25,26.99,2114
12,24.07,1.05,22.34,27.27,2113
13,24.18,1.21,22.52,27.5,1846
14,24.3,1.29,22.61,27.63,1873
15,24.31,1.36,22.64,27.72,1856
16,24.28,1.39,22.72,27.75,1877
17,24.11,1.39,22.47,27.63,1868
18,23.92,1.37,21.99,27.45,2129
19,23.91,1.22,22.03,27.24,2156
20,24.04,1.04,22.29,27.04,1883
21,24.15,0.87,22.83,26.79,1872
22,24.12,0.76,22.92,26.51,1588
23,24.08,0.74,22.76,26.34,1288
