hour,mean,std,min,max,count
0,24.27,0.79,22.59,26.77,1249
1,24.19,0.76,22.49,26.69,1365
2,24.16,0.75,22.4,26.64,1368
3,24.09,0.76,22.34,26.58,1370
4,24.04,0.76,22.29,26.53,1365
5,23.99,0.75,22.25,26.5,1393
6,23.94,0.75,22.25,26.47,1390
7,23.58,0.77,21.8,26.39,1378
8,23.32,0.88,21.64,26.65,1497
9,23.52,0.93,21.67,27.03,1503
10,23.8,1.01,22.14,27.32,1504
11,23.95,1.11,22.38,27.54,1623
12,24.1,1.2,22.41,27.64,1752
13,24.2,1.29,22.33,27.8,1627
14,24.27,1.35,22.3,28.0,1631
15,24.35,1.35,22.43,28.05,1623
16,24.37,1.34,22.5,28.06,1613
17,24.27,1.38,22.46,28.0,1617
18,24.0,1.46,22.08,27.79,1713
19,23.99,1.25,22.09,27.55,1752
20,24.19,1.06,22.61,27.3,1500
21,24.28,0.93,22.71,27.14,1498
22,24.33,0.84,22.75,26.97,1391
23,24.4,0.81,22.67,26.86,1255
