hour,mean,std,min,max,count
0,19.8,0.02,19.77,19.83,18
1,19.81,0.02,19.77,19.86,24
2,19.7,0.06,19.58,19.79,21
3,19.5,0.08,19.4,19.69,20
4,19.3,0.07,19.16,19.4,23
5,19.11,0.04,19.05,19.2,21
6,19.01,0.04,18.94,19.06,27
7,18.91,0.02,18.86,18.94,21
8,19.06,0.08,18.94,19.2,22
9,19.51,0.15,19.23,19.72,21
10,19.79,0.05,19.7,19.88,13
12,20.28,0.11,20.15,20.57,22
13,20.06,0.05,19.99,20.15,19
14,20.0,0.03,19.97,20.06,18
15,20.1,0.03,20.05,20.14,21
16,20.13,0.05,20.07,20.25,24
17,20.16,0.02,20.13,20.2,20
18,20.11,0.03,20.06,20.16,23
19,20.09,0.03,20.05,20.13,17
20,19.96,0.04,19.91,20.05,20
21,19.88,0.02,19.84,19.92,21
22,19.82,0.01,19.8,19.85,18
23,19.78,0.02,19.74,19.81,23
