hour,mean,std,min,max,count
0,25.22,0.7,23.25,27.23,874
1,25.18,0.69,23.37,27.17,874
2,25.15,0.7,23.38,27.09,876
3,25.12,0.7,23.37,27.0,877
4,25.11,0.7,23.27,26.97,870
5,25.09,0.73,23.22,26.95,853
6,24.95,0.73,23.0,26.83,850
7,24.6,0.68,22.76,26.25,852
8,24.37,0.6,22.8,26.32,860
9,24.41,0.59,23.15,26.53,855
10,24.47,0.65,22.3,26.68,862
11,24.47,0.81,21.72,26.77,873
12,24.54,0.84,22.31,27.01,858
13,24.62,0.88,23.31,27.19,854
14,24.68,0.93,23.71,27.38,852
15,24.72,1.0,23.72,27.5,861
16,24.79,1.15,23.6,27.7,921
17,24.53,1.23,21.1,27.82,868
18,24.39,1.38,20.79,27.81,865
19,24.61,1.25,20.89,27.77,865
20,24.93,1.08,20.63,27.69,867
21,25.15,0.86,21.93,27.57,875
22,25.26,0.75,22.95,27.46,872
23,25.24,0.73,23.21,27.31,863
