hour,mean,std,min,max,count
0,24.98,0.87,21.04,27.13,598
1,24.94,0.85,21.06,27.0,600
2,24.89,0.84,20.91,26.88,600
3,24.85,0.86,20.74,26.9,599
4,24.8,0.88,20.51,26.89,599
5,24.74,0.9,20.38,26.99,600
6,24.68,0.9,20.24,26.79,595
7,24.26,0.82,20.19,26.02,599
8,23.78,0.84,20.24,25.98,601
9,23.69,0.9,20.46,26.22,600
10,23.68,0.96,20.95,26.41,596
11,23.7,1.05,22.34,26.62,587
12,23.74,1.18,21.43,26.84,598
13,23.84,1.25,21.25,27.05,599
14,23.88,1.33,21.21,27.25,600
15,23.96,1.4,21.29,27.56,603
16,24.11,1.49,21.3,27.96,589
17,24.24,1.57,21.36,28.35,575
18,24.25,1.63,21.31,28.46,572
19,24.56,1.47,21.3,28.4,576
20,24.94,1.19,21.17,28.07,576
21,25.05,1.04,21.12,27.72,578
22,25.05,0.96,21.07,27.45,578
23,25.02,0.91,21.04,27.29,576
