month,excellent,fair,needs_improvement
2019-01,91.36,8.64,0.0
2019-02,87.34,12.66,0.0
2019-03,78.05,21.95,0.0
2019-05,84.43,14.64,0.93
2019-10,67.33,30.78,1.89
2019-11,70.04,28.77,1.19
2019-12,76.71,22.07,1.22
