month,excellent,fair,needs_improvement
2019-01,57.1,42.84,0.07
2019-02,55.32,44.63,0.05
2019-03,55.67,44.2,0.13
2019-04,54.27,45.35,0.38
2019-05,83.65,16.35,0.0
2019-10,83.21,16.78,0.01
2019-11,82.7,17.3,0.0
2019-12,87.99,11.8,0.21
