month,excellent,fair,needs_improvement
2019-01,78.74,21.26,0.0
2019-02,66.86,33.13,0.01
2019-03,72.27,27.73,0.0
2019-04,69.59,30.41,0.0
2019-05,78.91,21.09,0.0
