month,excellent,fair,needs_improvement
2019-01,79.21,20.79,0.0
2019-02,70.74,29.26,0.0
2019-03,68.89,31.11,0.0
2019-04,66.23,33.57,0.2
2019-05,89.85,10.15,0.0
2019-10,96.36,3.64,0.0
