week_start,comfortable,too_hot
2019-11-11,87.15,12.85
2019-11-18,96.84,3.16
2019-11-25,94.07,5.93
2019-12-02,88.16,11.84
2019-12-09,84.54,15.46
2019-12-16,85.2,14.8
2019-12-23,52.48,47.52
2019-12-30,83.25,16.75
