week_start,comfortable,too_hot
2019-08-05,100.0,0.0
2019-08-12,100.0,0.0
2019-08-19,95.45,4.55
2019-08-26,98.42,1.58
2019-09-02,100.0,0.0
2019-09-09,100.0,0.0
2019-09-16,100.0,0.0
2019-09-23,100.0,0.0
