time,co2
0,419.25
1,406.4
2,396.7
3,389.33
4,380.81
5,375.91
6,371.14
7,368.96
8,368.19
9,370.35
10,373.96
11,377.43
12,381.23
13,382.83
14,385.0
15,384.61
16,382.92
17,381.96
18,380.29
19,377.9
20,377.22
21,375.83
22,376.29
23,374.95
