time,co2
0,509.73
1,497.94
2,485.44
3,472.06
4,462.94
5,453.19
6,446.24
7,446.69
8,474.05
9,598.25
10,671.07
11,679.88
12,589.69
13,544.57
14,668.35
15,499.11
16,476.4
17,477.62
18,467.89
19,477.7
20,503.17
21,512.38
22,506.16
23,500.06
