time,co2
0,472.77
1,465.17
2,457.08
3,447.58
4,441.33
5,434.58
6,428.33
7,423.42
8,420.85
9,418.5
10,418.17
11,418.47
12,418.58
13,419.25
14,419.75
15,422.17
16,423.25
17,423.75
18,453.18
19,423.5
20,421.33
21,419.92
22,419.33
23,417.67
