date,excellent,fair
2019-05-25,100.0,0.0
2019-05-26,100.0,0.0
2019-05-27,80.0,20.0
2019-05-28,89.93,10.07
2019-05-29,87.54,12.46
2019-05-30,66.09,33.91
2019-05-31,61.46,38.54
