date,excellent,fair
2019-05-25,100.0,0.0
2019-05-26,100.0,0.0
2019-05-27,97.71,2.29
2019-05-28,84.98,15.02
2019-05-29,96.84,3.16
2019-05-30,82.11,17.89
2019-05-31,88.48,11.52
