date,excellent,fair
2019-05-25,100.0,0.0
2019-05-26,100.0,0.0
2019-05-27,66.67,33.33
2019-05-28,65.52,34.48
2019-05-29,65.4,34.6
2019-05-30,81.31,18.69
2019-05-31,64.36,35.64
