time,co2
0,487.0
1,472.83
2,463.08
3,453.33
4,446.08
5,441.17
6,439.17
7,438.92
8,439.92
9,446.33
10,458.58
11,470.92
12,483.0
13,506.33
14,521.33
15,511.92
16,511.0
17,505.67
18,483.58
19,471.33
20,463.42
21,459.08
22,456.5
23,454.0
