time,co2
0,478.0
1,463.33
2,451.0
3,440.25
4,430.18
5,421.08
6,411.92
7,406.58
8,400.92
9,398.83
10,398.25
11,396.67
12,396.0
13,396.75
14,400.17
15,401.92
16,401.67
17,401.67
18,402.25
19,400.58
20,399.75
21,398.42
22,397.33
23,398.25
