time,co2
0,489.67
1,482.83
2,474.67
3,466.75
4,457.5
5,449.92
6,443.5
7,439.92
8,439.33
9,440.0
10,438.83
11,436.83
12,434.75
13,434.0
14,436.42
15,436.33
16,437.0
17,437.33
18,438.17
19,437.83
20,436.75
21,435.17
22,435.33
23,433.17
