day_name,day,hour,ta
Wednesday,2,12,20.276363636363637
Wednesday,2,13,20.064736842105265
Wednesday,2,14,20.003888888888888
Wednesday,2,15,20.096666666666668
Wednesday,2,16,20.13375
Wednesday,2,17,20.1585
Wednesday,2,18,20.11304347826087
Wednesday,2,19,20.08764705882353
Wednesday,2,20,19.961000000000002
Wednesday,2,21,19.883333333333333
Wednesday,2,22,19.82
Wednesday,2,23,19.78
Thursday,3,0,19.800555555555555
Thursday,3,1,19.813333333333333
Thursday,3,2,19.698095238095238
Thursday,3,3,19.497999999999998
Thursday,3,4,19.29695652173913
Thursday,3,5,19.114761904761902
Thursday,3,6,19.00925925925926
Thursday,3,7,18.906190476190474
Thursday,3,8,19.058636363636364
Thursday,3,9,19.506666666666668
Thursday,3,10,19.793076923076924
