hour,mean,std,min,max,count
0,22.5,0.72,20.59,23.74,336
1,22.41,0.73,20.48,23.63,336
2,22.32,0.74,20.39,23.53,337
3,22.24,0.74,20.29,23.45,336
4,22.16,0.74,20.25,23.38,336
5,22.08,0.73,20.2,23.28,336
6,22.0,0.72,20.15,23.23,336
7,21.92,0.68,20.18,23.32,338
8,22.03,0.63,20.33,23.35,339
9,22.35,0.62,20.42,23.52,337
10,22.68,0.63,20.79,23.95,337
11,22.97,0.67,21.03,24.33,335
12,23.21,0.7,21.39,24.74,336
13,23.43,0.71,21.82,25.04,337
14,23.56,0.73,22.2,25.14,336
15,23.56,0.78,22.26,25.23,337
16,23.39,0.84,22.05,25.23,351
17,23.08,0.89,21.6,25.06,351
18,22.82,0.92,21.3,24.77,349
19,22.73,0.84,21.35,24.5,348
20,22.75,0.76,21.24,24.31,347
21,22.71,0.73,21.11,24.11,349
22,22.64,0.72,20.94,24.02,348
23,22.56,0.73,20.75,23.88,348
