hour,mean,std,min,max,count
0,24.52,0.96,22.63,27.03,1310
1,24.48,0.94,22.52,26.92,1298
2,24.42,0.92,22.44,26.82,1302
3,24.4,0.91,22.38,26.72,1284
4,24.35,0.9,22.34,26.66,1298
5,24.34,0.92,22.31,26.6,1270
6,24.29,0.9,22.29,26.6,1246
7,23.92,0.91,22.27,26.41,1274
8,23.49,0.98,22.11,26.46,1255
9,23.49,1.06,22.16,26.9,1255
10,23.71,1.19,22.29,27.39,1250
11,23.96,1.42,22.28,27.88,1313
12,24.0,1.54,22.31,28.29,1259
13,24.11,1.72,22.25,28.55,1223
14,24.26,1.85,22.32,28.77,1226
15,24.23,1.76,22.26,28.84,1852
16,24.29,2.05,22.26,29.04,1272
17,24.13,2.12,21.97,28.91,1254
18,23.84,2.08,21.9,28.67,1274
19,24.03,1.88,21.9,28.4,1289
20,24.34,1.49,21.96,27.99,1258
21,24.5,1.21,22.65,27.64,1283
22,24.56,1.07,22.79,27.38,1286
23,24.55,1.02,22.71,27.19,1292
