hour,mean,std,min,max,count
0,24.35,0.66,22.66,26.32,1847
1,24.29,0.63,22.53,26.22,1844
2,24.24,0.62,22.45,26.12,1870
3,24.17,0.62,22.35,26.06,1849
4,24.13,0.62,22.27,26.01,1821
5,24.08,0.62,22.24,25.97,1862
6,24.01,0.61,22.12,25.91,1856
7,23.67,0.61,21.99,25.5,1875
8,23.55,0.65,22.1,26.37,1856
9,23.62,0.7,22.43,25.78,1837
10,23.69,0.76,22.23,25.73,1859
11,23.71,0.83,22.13,25.82,1871
12,23.74,0.87,22.06,25.93,1866
13,23.81,0.91,22.0,26.09,1813
14,23.93,0.97,22.07,26.39,1832
15,24.04,1.08,22.2,26.71,1855
16,24.1,1.2,22.2,27.0,1857
17,24.11,1.34,22.15,27.14,1867
18,23.99,1.43,22.03,27.23,1856
19,24.16,1.25,22.21,27.21,1859
20,24.36,1.01,22.45,27.05,1855
21,24.41,0.86,22.84,26.82,1848
22,24.42,0.76,22.92,26.63,1860
23,24.38,0.7,22.81,26.47,1843
