hour,mean,std,min,max,count
0,24.03,1.43,21.66,25.89,60
1,23.95,1.4,21.67,25.85,60
2,23.84,1.41,21.52,25.83,60
3,23.69,1.44,21.35,25.78,60
4,23.57,1.49,21.13,25.71,60
5,23.48,1.55,21.01,25.66,60
6,23.58,1.71,20.88,26.78,60
7,23.95,2.18,20.8,27.69,60
8,24.07,2.38,20.85,28.58,60
9,23.86,1.81,21.08,27.54,59
10,24.33,1.44,21.52,26.58,53
11,25.01,1.34,23.36,27.26,48
12,24.67,1.68,22.08,27.44,57
13,24.8,1.69,21.95,27.6,72
14,24.88,1.93,21.86,27.8,60
15,24.87,1.92,21.92,27.84,64
16,24.97,1.91,21.9,28.06,57
17,24.9,1.92,21.94,27.6,60
18,24.67,1.88,21.93,27.56,60
19,24.53,1.73,21.92,27.11,60
20,24.66,1.67,21.82,27.06,72
21,24.35,1.5,21.76,26.3,69
22,24.16,1.49,21.71,26.17,60
23,24.07,1.47,21.68,25.97,60
