hour,mean,std,min,max,count
0,24.33,0.81,22.4,26.76,1310
1,24.29,0.8,22.31,26.71,1386
2,24.28,0.79,22.23,26.61,1401
3,24.22,0.8,22.14,26.55,1394
4,24.19,0.81,22.09,26.56,1376
5,24.15,0.81,22.05,26.46,1404
6,24.09,0.8,22.03,26.43,1399
7,23.65,0.74,22.04,26.04,1401
8,23.32,0.77,22.06,25.89,1402
9,23.33,0.8,22.1,26.1,1402
10,23.42,0.84,22.2,26.35,1408
11,23.54,0.91,21.95,26.56,1655
12,23.56,1.04,21.8,26.68,1467
13,23.59,1.13,22.03,26.88,1392
14,23.66,1.2,22.06,27.04,1375
15,23.75,1.27,22.09,27.2,1379
16,23.79,1.33,22.04,27.38,1388
17,23.8,1.39,22.08,27.44,1388
18,23.79,1.33,22.15,27.44,1622
19,23.94,1.27,22.23,27.36,1469
20,24.18,1.05,22.57,27.21,1402
21,24.3,0.92,22.68,27.05,1390
22,24.43,0.88,22.59,26.92,1154
23,24.44,0.86,22.49,26.81,1077
