hour,mean,std,min,max,count
0,24.02,0.81,21.99,26.14,1105
1,23.98,0.8,21.88,26.07,1112
2,23.98,0.82,21.78,26.0,1106
3,23.91,0.82,21.71,25.93,1105
4,23.87,0.83,21.65,25.89,1093
5,23.84,0.84,21.59,25.89,1111
6,23.78,0.84,21.56,25.82,1113
7,23.24,0.78,21.63,25.3,1106
8,22.82,0.81,21.66,24.95,1116
9,22.91,0.93,21.53,25.26,1104
10,23.09,1.1,21.51,26.1,1112
11,23.31,1.12,21.6,26.79,1349
12,23.45,1.29,21.71,26.86,1120
13,23.47,1.4,21.72,26.82,1109
14,23.46,1.48,21.68,26.89,1117
15,23.42,1.57,21.62,27.03,1119
16,23.28,1.65,21.37,27.07,1126
17,23.14,1.71,21.4,27.05,1125
18,23.0,1.65,21.26,26.98,1337
19,23.3,1.46,21.24,26.9,1129
20,23.77,1.1,22.24,26.73,1115
21,23.99,0.94,22.27,26.54,1109
22,24.22,0.81,22.4,26.39,868
23,24.23,0.78,22.33,26.24,861
