hour,mean,std,min,max,count
0,21.69,0.02,21.66,21.71,12
1,21.7,0.02,21.67,21.73,12
2,21.61,0.04,21.52,21.66,12
3,21.44,0.06,21.35,21.5,12
4,21.24,0.06,21.13,21.32,12
5,21.06,0.05,21.01,21.15,12
6,20.96,0.06,20.88,21.07,12
7,20.82,0.02,20.8,20.87,12
8,20.95,0.07,20.85,21.06,12
9,21.3,0.13,21.08,21.5,12
10,21.57,0.03,21.52,21.59,5
12,22.11,0.05,22.08,22.23,10
13,22.0,0.04,21.95,22.08,12
14,21.91,0.03,21.86,21.95,12
15,22.31,0.63,21.92,23.49,16
16,21.95,0.03,21.9,22.01,12
17,21.97,0.02,21.94,22.01,12
18,21.95,0.02,21.93,21.99,12
19,21.94,0.02,21.92,21.97,12
20,21.87,0.04,21.82,21.95,12
21,21.78,0.02,21.76,21.82,12
22,21.73,0.02,21.71,21.76,12
23,21.69,0.01,21.68,21.72,12
