hour,mean,std,min,max,count
0,23.36,0.62,21.99,24.74,338
1,23.29,0.61,21.88,24.61,338
2,23.22,0.61,21.78,24.52,337
3,23.15,0.61,21.71,24.41,337
4,23.09,0.6,21.65,24.32,337
5,23.03,0.59,21.59,24.25,334
6,22.94,0.57,21.56,24.19,336
7,22.73,0.52,21.63,24.26,336
8,22.92,0.53,21.88,24.43,338
9,23.37,0.57,22.35,25.22,336
10,23.72,0.75,22.56,26.1,339
11,23.7,0.89,22.08,26.79,565
12,23.99,1.13,22.53,26.86,341
13,23.91,1.26,22.24,26.82,335
14,23.8,1.35,22.04,26.7,339
15,23.68,1.45,21.81,26.6,340
16,23.42,1.55,21.61,26.61,354
17,23.11,1.56,21.48,26.4,349
18,23.06,1.3,21.6,26.08,561
19,23.02,1.25,21.65,25.74,349
20,23.32,0.91,22.24,25.45,350
21,23.44,0.76,22.27,25.24,350
22,23.57,0.64,22.4,24.95,120
23,23.52,0.6,22.33,24.79,116
