hour,mean,std,min,max,count
0,23.84,0.66,22.63,25.33,335
1,23.77,0.63,22.52,25.19,337
2,23.7,0.62,22.44,25.05,336
3,23.64,0.6,22.38,24.94,334
4,23.59,0.6,22.34,24.82,337
5,23.54,0.59,22.31,24.74,336
6,23.5,0.56,22.29,24.67,334
7,23.2,0.51,22.3,24.65,336
8,23.19,0.56,22.37,24.84,336
9,23.5,0.56,22.64,25.08,336
10,23.68,0.69,23.0,25.74,336
11,23.82,0.91,22.72,26.29,336
12,23.9,1.15,22.44,26.67,335
13,23.99,1.33,22.25,26.81,336
14,24.05,1.44,22.37,27.05,339
15,24.05,1.54,22.34,27.21,339
16,23.91,1.63,22.33,27.27,348
17,23.66,1.68,22.08,27.23,350
18,23.37,1.7,21.9,26.96,349
19,23.48,1.45,21.9,26.72,349
20,23.8,1.06,22.59,26.38,348
21,23.91,0.86,22.79,26.03,350
22,23.93,0.75,22.79,25.78,349
23,23.88,0.69,22.71,25.54,348
