hour,mean,std,min,max,count
0,24.15,0.6,22.66,25.48,636
1,24.06,0.58,22.53,25.31,643
2,23.99,0.6,22.45,25.17,666
3,23.9,0.61,22.35,25.07,653
4,23.83,0.6,22.27,24.99,638
5,23.77,0.59,22.24,24.92,658
6,23.67,0.57,22.12,24.8,649
7,23.44,0.56,21.99,24.64,669
8,23.62,0.62,22.1,26.37,656
9,23.83,0.6,22.43,25.78,639
10,23.97,0.61,22.28,25.19,648
11,23.96,0.67,22.19,25.17,649
12,24.0,0.64,22.27,25.29,658
13,24.1,0.58,22.66,25.6,609
14,24.23,0.69,22.99,26.07,633
15,24.27,0.89,23.01,26.48,646
16,24.2,1.09,22.87,26.76,656
17,24.07,1.29,22.47,26.81,663
18,23.88,1.32,22.5,26.78,656
19,24.01,1.12,22.59,26.53,656
20,24.21,0.88,22.68,26.26,650
21,24.24,0.72,22.84,26.05,638
22,24.25,0.67,22.92,25.83,656
23,24.17,0.63,22.81,25.62,638
