day_name,day,hour,ta
Monday,0,0,25.87220588235294
Monday,0,1,25.70714285714286
Monday,0,2,25.570476190476192
Monday,0,3,25.48428571428571
Monday,0,4,25.408333333333335
Monday,0,5,25.35
Monday,0,6,25.25243902439024
Monday,0,7,24.61797619047619
Monday,0,8,24.000833333333333
Monday,0,9,23.934404761904762
Monday,0,10,23.936309523809523
Monday,0,11,24.037738095238097
Monday,0,12,24.185238095238095
Monday,0,13,24.30392857142857
Monday,0,14,24.252142857142857
Monday,0,15,24.31453488372093
Monday,0,16,24.513658536585364
Monday,0,17,24.670722891566268
Monday,0,18,24.503809523809526
Monday,0,19,24.72702380952381
Monday,0,20,25.077926829268293
Monday,0,21,25.29261904761905
Monday,0,22,25.34297619047619
Monday,0,23,25.338928571428568
Tuesday,1,0,25.346190476190475
Tuesday,1,1,25.341666666666665
Tuesday,1,2,25.331666666666667
Tuesday,1,3,25.32095238095238
Tuesday,1,4,25.306904761904764
Tuesday,1,5,25.304880952380955
Tuesday,1,6,25.263571428571428
Tuesday,1,7,24.49011904761905
Tuesday,1,8,23.610714285714284
Tuesday,1,9,23.42392857142857
Tuesday,1,10,23.240000000000002
Tuesday,1,11,23.11559523809524
Tuesday,1,12,23.20845238095238
Tuesday,1,13,23.153809523809525
Tuesday,1,14,23.209761904761905
Tuesday,1,15,23.262142857142855
Tuesday,1,16,23.367261904761904
Tuesday,1,17,23.306785714285713
Tuesday,1,18,23.204761904761906
Tuesday,1,19,23.737142857142857
Tuesday,1,20,24.43297619047619
Tuesday,1,21,24.74559523809524
Tuesday,1,22,24.859523809523807
Tuesday,1,23,24.92059523809524
Wednesday,2,0,24.966666666666665
Wednesday,2,1,24.968333333333334
Wednesday,2,2,24.969642857142855
Wednesday,2,3,24.936785714285715
Wednesday,2,4,24.91202380952381
Wednesday,2,5,24.85833333333333
Wednesday,2,6,24.769761904761904
Wednesday,2,7,24.197619047619046
Wednesday,2,8,23.453690476190477
Wednesday,2,9,23.26690476190476
Wednesday,2,10,23.292093023255813
Wednesday,2,11,23.317619047619047
Wednesday,2,12,23.10340425531915
Wednesday,2,13,23.148
Wednesday,2,14,22.96020833333333
Wednesday,2,15,23.005625
Wednesday,2,16,23.043229166666666
Wednesday,2,17,23.13864583333333
Wednesday,2,18,23.212446808510638
Wednesday,2,19,23.710624999999997
Wednesday,2,20,24.276145833333334
Wednesday,2,21,24.446354166666666
Wednesday,2,22,24.475520833333334
Wednesday,2,23,24.481666666666666
Thursday,3,0,24.433020833333334
Thursday,3,1,24.388125000000002
Thursday,3,2,24.303020833333335
Thursday,3,3,24.25208333333333
Thursday,3,4,24.153958333333335
Thursday,3,5,24.092083333333335
Thursday,3,6,24.042291666666667
Thursday,3,7,23.63989583333333
Thursday,3,8,23.069690721649486
Thursday,3,9,22.908854166666668
Thursday,3,10,22.879222222222225
Thursday,3,11,22.94309523809524
Thursday,3,12,23.05809523809524
Thursday,3,13,23.302142857142858
Thursday,3,14,23.416190476190476
Thursday,3,15,23.410714285714285
Thursday,3,16,23.277261904761904
Thursday,3,17,23.218452380952378
Thursday,3,18,23.190238095238094
Thursday,3,19,23.64892857142857
Thursday,3,20,24.245116279069766
Thursday,3,21,24.442619047619047
Thursday,3,22,24.464880952380955
Thursday,3,23,24.438333333333336
Friday,4,0,24.54685185185185
Friday,4,1,24.550185185185185
Friday,4,2,24.500925925925927
Friday,4,3,24.502592592592595
Friday,4,4,24.47504672897196
Friday,4,5,24.405185185185186
Friday,4,6,24.385833333333334
Friday,4,7,23.99175925925926
Friday,4,8,23.384907407407407
Friday,4,9,23.206759259259258
Friday,4,10,23.102314814814818
Friday,4,11,22.908425925925926
Friday,4,12,22.78648148148148
Friday,4,13,22.796296296296298
Friday,4,14,22.856388888888887
Friday,4,15,22.92834862385321
Friday,4,16,23.16298969072165
Friday,4,17,23.418809523809525
Friday,4,18,23.403536585365853
Friday,4,19,23.84035714285714
Friday,4,20,24.422619047619047
Friday,4,21,24.6325
Friday,4,22,24.716627906976747
Friday,4,23,24.770833333333332
Saturday,5,0,24.761097560975607
Saturday,5,1,24.734523809523807
Saturday,5,2,24.717857142857145
Saturday,5,3,24.676785714285714
Saturday,5,4,24.62547619047619
Saturday,5,5,24.522738095238093
Saturday,5,6,24.455061728395062
Saturday,5,7,24.461204819277107
Saturday,5,8,24.616666666666667
Saturday,5,9,24.728571428571428
Saturday,5,10,24.85571428571429
Saturday,5,11,25.036785714285717
Saturday,5,12,25.25202380952381
Saturday,5,13,25.469047619047622
Saturday,5,14,25.616071428571427
Saturday,5,15,25.78190476190476
Saturday,5,16,25.959285714285713
Saturday,5,17,26.09142857142857
Saturday,5,18,26.134642857142858
Saturday,5,19,26.099642857142857
Saturday,5,20,25.947857142857142
Saturday,5,21,25.757380952380952
Saturday,5,22,25.62261904761905
Saturday,5,23,25.486785714285713
Sunday,6,0,25.341052631578947
Sunday,6,1,25.156333333333336
Sunday,6,2,25.050833333333333
Sunday,6,3,24.97203389830508
Sunday,6,4,24.927833333333336
Sunday,6,5,24.871
Sunday,6,6,24.8165
Sunday,6,7,24.769166666666667
Sunday,6,8,24.81683333333333
Sunday,6,9,24.935
Sunday,6,10,25.092166666666667
Sunday,6,11,25.251016949152543
Sunday,6,12,25.419
Sunday,6,13,25.60216666666667
Sunday,6,14,25.8125
Sunday,6,15,26.06
Sunday,6,16,26.358709677419355
Sunday,6,17,26.725
Sunday,6,18,26.980999999999998
Sunday,6,19,27.0085
Sunday,6,20,26.817
Sunday,6,21,26.541290322580643
Sunday,6,22,26.313333333333333
Sunday,6,23,26.079666666666665
