day_name,day,hour,ta
Monday,0,0,23.665000000000003
Monday,0,1,23.55666666666667
Monday,0,2,23.45625
Monday,0,3,23.359583333333333
Monday,0,4,23.275000000000002
Monday,0,5,23.195833333333336
Monday,0,6,23.044583333333332
Monday,0,7,22.47375
Monday,0,8,22.349166666666665
Monday,0,9,22.438333333333333
Monday,0,10,22.644166666666667
Monday,0,11,22.78833333333333
Monday,0,12,22.971666666666664
Monday,0,13,23.144166666666667
Monday,0,14,23.280416666666667
Monday,0,15,23.27916666666667
Monday,0,16,23.34375
Monday,0,17,23.1925
Monday,0,18,22.938333333333333
Monday,0,19,22.7925
Monday,0,20,23.06125
Monday,0,21,23.20875
Monday,0,22,23.284166666666668
Monday,0,23,23.277916666666666
Tuesday,1,0,23.25913043478261
Tuesday,1,1,23.227083333333336
Tuesday,1,2,23.18173913043478
Tuesday,1,3,23.135833333333334
Tuesday,1,4,23.077083333333334
Tuesday,1,5,23.019166666666667
Tuesday,1,6,22.959999999999997
Tuesday,1,7,22.520416666666666
Tuesday,1,8,22.295833333333334
Tuesday,1,9,22.467083333333335
Tuesday,1,10,22.655833333333334
Tuesday,1,11,22.760833333333334
Tuesday,1,12,22.865454545454547
Tuesday,1,13,23.005
Tuesday,1,14,23.159583333333334
Tuesday,1,15,23.171666666666667
Tuesday,1,16,23.157083333333333
Tuesday,1,17,22.99083333333333
Tuesday,1,18,22.727500000000003
Tuesday,1,19,22.7625
Tuesday,1,20,23.054166666666664
Tuesday,1,21,23.169583333333335
Tuesday,1,22,23.217083333333335
Tuesday,1,23,23.18041666666667
Wednesday,2,0,23.410270270270267
Wednesday,2,1,23.362222222222222
Wednesday,2,2,23.319444444444443
Wednesday,2,3,23.286388888888887
Wednesday,2,4,23.246944444444445
Wednesday,2,5,23.21138888888889
Wednesday,2,6,23.172777777777778
Wednesday,2,7,22.858333333333334
Wednesday,2,8,22.55638888888889
Wednesday,2,9,22.543055555555554
Wednesday,2,10,22.72416666666667
Wednesday,2,11,22.914166666666667
Wednesday,2,12,23.068333333333335
Wednesday,2,13,23.08
Wednesday,2,14,23.076129032258066
Wednesday,2,15,23.076206896551724
Wednesday,2,16,22.973333333333333
Wednesday,2,17,22.805
Wednesday,2,18,22.616944444444446
Wednesday,2,19,22.666944444444443
Wednesday,2,20,22.956944444444446
Wednesday,2,21,23.134444444444444
Wednesday,2,22,23.216944444444447
Wednesday,2,23,23.246666666666666
Thursday,3,0,23.248333333333335
Thursday,3,1,23.221666666666668
Thursday,3,2,23.19361111111111
Thursday,3,3,23.161388888888887
Thursday,3,4,23.1225
Thursday,3,5,23.079722222222223
Thursday,3,6,23.043888888888887
Thursday,3,7,22.709722222222222
Thursday,3,8,22.51861111111111
Thursday,3,9,22.688055555555554
Thursday,3,10,22.883611111111108
Thursday,3,11,22.93777777777778
Thursday,3,12,22.937333333333335
Thursday,3,13,22.8175
Thursday,3,14,22.9075
Thursday,3,15,22.994583333333335
Thursday,3,16,22.980416666666667
Thursday,3,17,22.891666666666666
Thursday,3,18,22.74083333333333
Thursday,3,19,22.787499999999998
Thursday,3,20,23.08583333333333
Thursday,3,21,23.229200000000002
Thursday,3,22,23.27208333333333
Thursday,3,23,23.25583333333333
Friday,4,0,23.237083333333334
Friday,4,1,23.21666666666667
Friday,4,2,23.18875
Friday,4,3,23.165833333333335
Friday,4,4,23.149583333333336
Friday,4,5,23.119583333333335
Friday,4,6,23.096666666666668
Friday,4,7,22.815833333333334
Friday,4,8,22.434166666666666
Friday,4,9,22.403333333333332
Friday,4,10,22.59
Friday,4,11,22.714347826086954
Friday,4,12,22.606842105263155
Friday,4,13,22.498333333333335
Friday,4,14,22.580833333333334
Friday,4,15,23.495714285714286
Friday,4,16,23.04962962962963
Friday,4,17,22.772916666666664
Friday,4,18,22.419583333333335
Friday,4,19,22.4875
Friday,4,20,22.8
Friday,4,21,22.925416666666667
Friday,4,22,22.960416666666664
Friday,4,23,22.952916666666667
Saturday,5,0,22.915833333333335
Saturday,5,1,22.876666666666665
Saturday,5,2,22.838333333333335
Saturday,5,3,22.79125
Saturday,5,4,22.757499999999997
Saturday,5,5,22.736666666666665
Saturday,5,6,22.713333333333335
Saturday,5,7,22.702916666666667
Saturday,5,8,22.739166666666666
Saturday,5,9,22.851250000000004
Saturday,5,10,23.028333333333332
Saturday,5,11,23.227500000000003
Saturday,5,12,23.415833333333335
Saturday,5,13,23.59166666666667
Saturday,5,14,23.768333333333334
Saturday,5,15,23.90625
Saturday,5,16,24.002499999999998
Saturday,5,17,24.10818181818182
Saturday,5,18,24.105
Saturday,5,19,24.014583333333334
Saturday,5,20,23.88416666666667
Saturday,5,21,23.74304347826087
Saturday,5,22,23.61708333333333
Saturday,5,23,23.4675
Sunday,6,0,23.355
Sunday,6,1,23.24
Sunday,6,2,23.147499999999997
Sunday,6,3,23.06125
Sunday,6,4,22.97583333333333
Sunday,6,5,22.895833333333332
Sunday,6,6,22.8275
Sunday,6,7,22.787916666666664
Sunday,6,8,22.824166666666667
Sunday,6,9,22.949583333333333
Sunday,6,10,23.139583333333334
Sunday,6,11,23.33791666666667
Sunday,6,12,23.532083333333333
Sunday,6,13,23.747083333333332
Sunday,6,14,23.9275
Sunday,6,15,24.070833333333336
Sunday,6,16,24.22
Sunday,6,17,24.307083333333335
Sunday,6,18,24.295416666666668
Sunday,6,19,24.227083333333336
Sunday,6,20,24.104583333333334
Sunday,6,21,23.979583333333334
Sunday,6,22,23.864583333333332
Sunday,6,23,23.7692
