day_name,day,hour,ta
Monday,0,0,24.703125
Monday,0,1,24.561458333333334
Monday,0,2,24.417659574468082
Monday,0,3,24.310833333333335
Monday,0,4,24.204166666666666
Monday,0,5,24.113541666666666
Monday,0,6,23.89659574468085
Monday,0,7,22.885416666666668
Monday,0,8,22.695833333333336
Monday,0,9,23.0575
Monday,0,10,23.269375
Monday,0,11,23.260625
Monday,0,12,23.201875
Monday,0,13,23.12625
Monday,0,14,23.0796
Monday,0,15,22.986874999999998
Monday,0,16,22.83875
Monday,0,17,22.523061224489798
Monday,0,18,22.2608
Monday,0,19,22.587500000000002
Monday,0,20,23.246666666666666
Monday,0,21,23.52591836734694
Monday,0,22,23.665000000000003
Monday,0,23,23.68875
Tuesday,1,0,23.675319148936172
Tuesday,1,1,23.662291666666665
Tuesday,1,2,23.640625
Tuesday,1,3,23.615624999999998
Tuesday,1,4,23.578125
Tuesday,1,5,23.535416666666666
Tuesday,1,6,23.543541666666666
Tuesday,1,7,23.156875
Tuesday,1,8,23.051458333333333
Tuesday,1,9,23.310833333333335
Tuesday,1,10,23.292708333333334
Tuesday,1,11,23.305625000000003
Tuesday,1,12,23.245416666666667
Tuesday,1,13,23.204166666666666
Tuesday,1,14,23.180000000000003
Tuesday,1,15,23.12125
Tuesday,1,16,23.046458333333334
Tuesday,1,17,22.768958333333334
Tuesday,1,18,22.425106382978722
Tuesday,1,19,22.675625
Tuesday,1,20,23.28979166666667
Tuesday,1,21,23.546458333333334
Tuesday,1,22,23.6825
Tuesday,1,23,23.665625000000002
Wednesday,2,0,23.636458333333334
Wednesday,2,1,23.591041666666666
Wednesday,2,2,23.536530612244896
Wednesday,2,3,23.508750000000003
Wednesday,2,4,23.474375
Wednesday,2,5,23.442916666666665
Wednesday,2,6,23.485
Wednesday,2,7,23.24416666666667
Wednesday,2,8,23.04041666666667
Wednesday,2,9,23.067291666666666
Wednesday,2,10,23.167708333333334
Wednesday,2,11,23.231875000000002
Wednesday,2,12,23.219166666666666
Wednesday,2,13,23.20375
Wednesday,2,14,23.147916666666664
Wednesday,2,15,23.03
Wednesday,2,16,22.841458333333335
Wednesday,2,17,22.531666666666666
Wednesday,2,18,22.193541666666665
Wednesday,2,19,22.527708333333333
Wednesday,2,20,23.180625000000003
Wednesday,2,21,23.463125
Wednesday,2,22,23.56895833333333
Wednesday,2,23,23.568125
Thursday,3,0,23.547291666666666
Thursday,3,1,23.468367346938777
Thursday,3,2,23.406666666666666
Thursday,3,3,23.364468085106385
Thursday,3,4,23.301041666666666
Thursday,3,5,23.250833333333333
Thursday,3,6,23.262083333333333
Thursday,3,7,23.014375
Thursday,3,8,23.080833333333334
Thursday,3,9,23.397499999999997
Thursday,3,10,23.345416666666665
Thursday,3,11,23.309166666666666
Thursday,3,12,23.264583333333334
Thursday,3,13,23.2375
Thursday,3,14,23.26224489795918
Thursday,3,15,23.129791666666666
Thursday,3,16,22.89645833333333
Thursday,3,17,22.585510204081633
Thursday,3,18,22.434791666666666
Thursday,3,19,22.655
Thursday,3,20,23.095208333333332
Thursday,3,21,23.328367346938773
Thursday,3,22,23.417916666666667
Thursday,3,23,23.403541666666666
Friday,4,0,23.376458333333332
Friday,4,1,23.349999999999998
Friday,4,2,23.311875
Friday,4,3,23.268541666666668
Friday,4,4,23.22583333333333
Friday,4,5,23.174791666666668
Friday,4,6,23.209166666666665
Friday,4,7,23.0
Friday,4,8,22.905
Friday,4,9,23.254791666666666
Friday,4,10,23.383750000000003
Friday,4,11,23.3075
Friday,4,12,23.165000000000003
Friday,4,13,23.151875
Friday,4,14,23.281666666666666
Friday,4,15,23.375799999999998
Friday,4,16,23.0545
Friday,4,17,22.834666666666667
Friday,4,18,22.42683333333333
Friday,4,19,22.64065573770492
Friday,4,20,23.137666666666668
Friday,4,21,23.326999999999998
Friday,4,22,23.39333333333333
Friday,4,23,23.402833333333334
Saturday,5,0,23.41625
Saturday,5,1,23.400208333333335
Saturday,5,2,23.371666666666666
Saturday,5,3,23.3325
Saturday,5,4,23.294583333333335
Saturday,5,5,23.257916666666663
Saturday,5,6,23.215208333333333
Saturday,5,7,23.23375
Saturday,5,8,23.42125
Saturday,5,9,23.870625
Saturday,5,10,24.366666666666664
Saturday,5,11,24.92958333333333
Saturday,5,12,25.47531914893617
Saturday,5,13,25.893958333333334
Saturday,5,14,26.167291666666667
Saturday,5,15,26.314375
Saturday,5,16,26.411458333333332
Saturday,5,17,26.282083333333333
Saturday,5,18,26.019166666666667
Saturday,5,19,25.675625
Saturday,5,20,25.331875
Saturday,5,21,25.06895833333333
Saturday,5,22,24.84875
Saturday,5,23,24.652916666666666
Sunday,6,0,24.499791666666667
Sunday,6,1,24.364791666666665
Sunday,6,2,24.25125
Sunday,6,3,24.117234042553193
Sunday,6,4,24.0534693877551
Sunday,6,5,23.978125000000002
Sunday,6,6,23.908936170212765
Sunday,6,7,23.887083333333333
Sunday,6,8,24.11
Sunday,6,9,24.506666666666664
Sunday,6,10,24.95104166666667
Sunday,6,11,25.378958333333333
Sunday,6,12,25.787499999999998
Sunday,6,13,26.092083333333335
Sunday,6,14,26.292916666666667
Sunday,6,15,26.408125
Sunday,6,16,26.489583333333332
Sunday,6,17,26.351041666666664
Sunday,6,18,26.093125
Sunday,6,19,25.80479166666667
Sunday,6,20,25.510833333333334
Sunday,6,21,25.249375
Sunday,6,22,25.040408163265308
Sunday,6,23,24.861666666666665
