day_name,day,hour,ta
Wednesday,2,12,21.503999999999998
Wednesday,2,13,21.31833333333333
Wednesday,2,14,21.241666666666667
Wednesday,2,15,21.321666666666665
Wednesday,2,16,21.3325
Wednesday,2,17,21.38
Wednesday,2,18,21.3475
Wednesday,2,19,21.328333333333333
Wednesday,2,20,21.233333333333334
Wednesday,2,21,21.145
Wednesday,2,22,21.095000000000002
Wednesday,2,23,21.06
Thursday,3,0,21.06833333333333
Thursday,3,1,21.08
Thursday,3,2,20.986666666666668
Thursday,3,3,20.815833333333334
Thursday,3,4,20.62666666666667
Thursday,3,5,20.433333333333334
Thursday,3,6,20.325833333333332
Thursday,3,7,20.212500000000002
Thursday,3,8,20.343333333333334
Thursday,3,9,20.724166666666665
Thursday,3,10,20.996666666666666
Friday,4,15,24.43
Friday,4,16,24.77
