day_name,day,hour,ta
Monday,0,0,24.514000000000003
Monday,0,1,24.363932584269662
Monday,0,2,24.234719101123595
Monday,0,3,24.079489795918366
Monday,0,4,24.014022988505744
Monday,0,5,23.85467391304348
Monday,0,6,23.742758620689653
Monday,0,7,23.105913978494623
Monday,0,8,23.028928571428573
Monday,0,9,23.498941176470588
Monday,0,10,24.02340909090909
Monday,0,11,24.13066666666667
Monday,0,12,24.165542168674698
Monday,0,13,24.150952380952383
Monday,0,14,24.109545454545454
Monday,0,15,23.99318181818182
Monday,0,16,23.88178947368421
Monday,0,17,23.634838709677418
Monday,0,18,23.374042553191487
Monday,0,19,23.435697674418606
Monday,0,20,23.70639534883721
Monday,0,21,23.80156626506024
Monday,0,22,23.809058823529412
Monday,0,23,23.79465909090909
Tuesday,1,0,23.72370786516854
Tuesday,1,1,23.70274725274725
Tuesday,1,2,23.625222222222224
Tuesday,1,3,23.582650602409636
Tuesday,1,4,23.51940476190476
Tuesday,1,5,23.46311111111111
Tuesday,1,6,23.398947368421055
Tuesday,1,7,23.14811111111111
Tuesday,1,8,23.062967032967034
Tuesday,1,9,23.56129411764706
Tuesday,1,10,24.08511111111111
Tuesday,1,11,24.25932584269663
Tuesday,1,12,24.181084337349397
Tuesday,1,13,24.159277108433734
Tuesday,1,14,24.14931818181818
Tuesday,1,15,24.149775280898876
Tuesday,1,16,24.042261904761904
Tuesday,1,17,23.63568181818182
Tuesday,1,18,23.316436781609195
Tuesday,1,19,23.37390804597701
Tuesday,1,20,23.68011764705882
Tuesday,1,21,23.80292134831461
Tuesday,1,22,23.79296703296703
Tuesday,1,23,23.73892857142857
Wednesday,2,0,23.719903846153844
Wednesday,2,1,23.652421052631578
Wednesday,2,2,23.6297
Wednesday,2,3,23.533979591836733
Wednesday,2,4,23.4786
Wednesday,2,5,23.4389898989899
Wednesday,2,6,23.420816326530616
Wednesday,2,7,23.255346534653466
Wednesday,2,8,23.127884615384616
Wednesday,2,9,23.33546391752577
Wednesday,2,10,23.775980392156864
Wednesday,2,11,23.89858490566038
Wednesday,2,12,23.9967
Wednesday,2,13,23.915217391304346
Wednesday,2,14,23.955673076923077
Wednesday,2,15,23.861958762886598
Wednesday,2,16,23.710918367346938
Wednesday,2,17,23.482604166666665
Wednesday,2,18,23.241028037383177
Wednesday,2,19,23.282307692307693
Wednesday,2,20,23.565151515151513
Wednesday,2,21,23.6815625
Wednesday,2,22,23.736236559139783
Wednesday,2,23,23.65978021978022
Thursday,3,0,23.555000000000003
Thursday,3,1,23.509285714285713
Thursday,3,2,23.425306122448976
Thursday,3,3,23.34735849056604
Thursday,3,4,23.262061855670105
Thursday,3,5,23.233263157894736
Thursday,3,6,23.154950495049505
Thursday,3,7,22.921333333333337
Thursday,3,8,22.809326923076924
Thursday,3,9,23.245434782608694
Thursday,3,10,23.70190476190476
Thursday,3,11,23.81077586206897
Thursday,3,12,23.94612244897959
Thursday,3,13,23.967425742574257
Thursday,3,14,23.98510416666667
Thursday,3,15,23.82463157894737
Thursday,3,16,23.6972
Thursday,3,17,23.4069
Thursday,3,18,23.122897196261682
Thursday,3,19,23.162499999999998
Thursday,3,20,23.421326530612244
Thursday,3,21,23.51142857142857
Thursday,3,22,23.542093023255813
Thursday,3,23,23.508000000000003
Friday,4,0,23.391584158415842
Friday,4,1,23.355384615384615
Friday,4,2,23.273636363636363
Friday,4,3,23.21291666666667
Friday,4,4,23.1758
Friday,4,5,23.09422680412371
Friday,4,6,23.082156862745098
Friday,4,7,22.870700000000003
Friday,4,8,22.70151515151515
Friday,4,9,23.164757281553396
Friday,4,10,23.586000000000002
Friday,4,11,23.776122448979592
Friday,4,12,23.836960784313725
Friday,4,13,23.91488888888889
Friday,4,14,23.96886363636364
Friday,4,15,23.89115789473684
Friday,4,16,23.747213114754096
Friday,4,17,23.520818181818182
Friday,4,18,23.145725806451615
Friday,4,19,23.14079646017699
Friday,4,20,23.427522935779816
Friday,4,21,23.53140186915888
Friday,4,22,23.546168224299066
Friday,4,23,23.521485148514852
Saturday,5,0,23.564500000000002
Saturday,5,1,23.535243902439024
Saturday,5,2,23.47247191011236
Saturday,5,3,23.386136363636364
Saturday,5,4,23.343444444444444
Saturday,5,5,23.288749999999997
Saturday,5,6,23.204651162790697
Saturday,5,7,23.231818181818184
Saturday,5,8,23.419885057471266
Saturday,5,9,23.811046511627907
Saturday,5,10,24.34629213483146
Saturday,5,11,24.913636363636364
Saturday,5,12,25.322738095238098
Saturday,5,13,25.743448275862068
Saturday,5,14,25.982613636363634
Saturday,5,15,26.12505747126437
Saturday,5,16,26.14977011494253
Saturday,5,17,25.881162790697676
Saturday,5,18,25.60268292682927
Saturday,5,19,25.360617283950617
Saturday,5,20,25.04528735632184
Saturday,5,21,24.924891304347828
Saturday,5,22,24.679090909090913
Saturday,5,23,24.529397590361448
Sunday,6,0,24.302045454545453
