day_name,day,hour,ta
Monday,0,0,24.075416666666666
Monday,0,1,23.93958333333333
Monday,0,2,23.82041666666667
Monday,0,3,23.709374999999998
Monday,0,4,23.61
Monday,0,5,23.52553191489362
Monday,0,6,23.20958333333333
Monday,0,7,22.422083333333333
Monday,0,8,22.557142857142857
Monday,0,9,23.038124999999997
Monday,0,10,23.47791666666667
Monday,0,11,23.394520547945206
Monday,0,12,23.30979591836735
Monday,0,13,22.939791666666665
Monday,0,14,22.79625
Monday,0,15,22.528541666666666
Monday,0,16,22.23795918367347
Monday,0,17,21.92020408163265
Monday,0,18,22.752025316455697
Monday,0,19,22.205918367346936
Monday,0,20,22.8365306122449
Monday,0,21,23.13
Monday,0,22,23.387727272727272
Monday,0,23,23.397727272727273
Tuesday,1,0,23.263333333333335
Tuesday,1,1,23.238541666666666
Tuesday,1,2,23.192916666666665
Tuesday,1,3,23.148124999999997
Tuesday,1,4,23.095208333333332
Tuesday,1,5,23.038541666666664
Tuesday,1,6,22.97375
Tuesday,1,7,22.756041666666665
Tuesday,1,8,22.882499999999997
Tuesday,1,9,23.34875
Tuesday,1,10,23.5858
Tuesday,1,11,23.401866666666667
Tuesday,1,12,23.30125
Tuesday,1,13,23.15416666666667
Tuesday,1,14,22.897755102040815
Tuesday,1,15,22.7398
Tuesday,1,16,22.446875000000002
Tuesday,1,17,22.17
Tuesday,1,18,22.40635135135135
Tuesday,1,19,22.383958333333336
Tuesday,1,20,22.936734693877554
Tuesday,1,21,23.193749999999998
Tuesday,1,22,23.455714285714286
Tuesday,1,23,23.42047619047619
Wednesday,2,0,23.252708333333334
Wednesday,2,1,23.203125
Wednesday,2,2,23.155208333333334
Wednesday,2,3,23.110416666666666
Wednesday,2,4,23.066875
Wednesday,2,5,23.017446808510638
Wednesday,2,6,22.977708333333336
Wednesday,2,7,22.799374999999998
Wednesday,2,8,22.7625
Wednesday,2,9,22.947551020408163
Wednesday,2,10,23.299791666666668
Wednesday,2,11,23.379113924050632
Wednesday,2,12,23.470208333333332
Wednesday,2,13,23.240816326530613
Wednesday,2,14,22.983469387755104
Wednesday,2,15,22.810833333333335
Wednesday,2,16,22.588823529411766
Wednesday,2,17,22.207916666666666
Wednesday,2,18,22.381733333333333
Wednesday,2,19,22.327083333333334
Wednesday,2,20,22.84958333333333
Wednesday,2,21,23.088333333333335
Wednesday,2,22,23.174999999999997
Wednesday,2,23,23.16888888888889
Thursday,3,0,23.068749999999998
Thursday,3,1,23.005
Thursday,3,2,22.941875
Thursday,3,3,22.886041666666667
Thursday,3,4,22.82041666666667
Thursday,3,5,22.756041666666665
Thursday,3,6,22.682978723404254
Thursday,3,7,22.485
Thursday,3,8,22.8065306122449
Thursday,3,9,23.29895833333333
Thursday,3,10,23.31367346938775
Thursday,3,11,23.17879518072289
Thursday,3,12,23.4106
Thursday,3,13,23.29875
Thursday,3,14,23.050416666666667
Thursday,3,15,22.78833333333333
Thursday,3,16,22.46326530612245
Thursday,3,17,22.10375
Thursday,3,18,22.35628205128205
Thursday,3,19,22.218541666666667
Thursday,3,20,22.707916666666666
Thursday,3,21,22.907291666666666
Thursday,3,22,23.21
Thursday,3,23,23.094
Friday,4,0,22.93875
Friday,4,1,22.90041666666667
Friday,4,2,22.843333333333334
Friday,4,3,22.770612244897958
Friday,4,4,22.73857142857143
Friday,4,5,22.691666666666666
Friday,4,6,22.633333333333336
Friday,4,7,22.466734693877548
Friday,4,8,22.61583333333333
Friday,4,9,23.038124999999997
Friday,4,10,23.101041666666664
Friday,4,11,23.131702127659576
Friday,4,12,23.247708333333335
Friday,4,13,23.253125
Friday,4,14,23.271836734693878
Friday,4,15,23.235799999999998
Friday,4,16,22.81590163934426
Friday,4,17,22.442999999999998
Friday,4,18,22.38612903225806
Friday,4,19,22.3245
Friday,4,20,22.711311475409833
Friday,4,21,22.912166666666668
Friday,4,22,22.939285714285713
Friday,4,23,22.970714285714283
Saturday,5,0,23.0702
Saturday,5,1,23.02625
Saturday,5,2,22.979166666666668
Saturday,5,3,22.92770833333333
Saturday,5,4,22.88
Saturday,5,5,22.83458333333333
Saturday,5,6,22.801836734693875
Saturday,5,7,22.835531914893618
Saturday,5,8,23.134583333333335
Saturday,5,9,23.672127659574468
Saturday,5,10,24.377708333333334
Saturday,5,11,24.53061728395062
Saturday,5,12,25.363958333333333
Saturday,5,13,25.58875
Saturday,5,14,25.660833333333333
Saturday,5,15,25.70625
Saturday,5,16,25.697083333333335
Saturday,5,17,25.421666666666667
Saturday,5,18,24.275243902439023
Saturday,5,19,24.829166666666666
Saturday,5,20,24.567708333333332
Saturday,5,21,24.371020408163268
Saturday,5,22,24.284666666666666
Saturday,5,23,24.14785714285714
Sunday,6,0,23.83666666666667
Sunday,6,1,23.7196
Sunday,6,2,23.59816326530612
Sunday,6,3,23.526458333333334
Sunday,6,4,23.444166666666664
Sunday,6,5,23.370208333333334
Sunday,6,6,23.30666666666667
Sunday,6,7,23.335416666666664
Sunday,6,8,23.658541666666665
Sunday,6,9,24.285833333333333
Sunday,6,10,24.930833333333336
Sunday,6,11,24.9135
Sunday,6,12,25.822
Sunday,6,13,25.961739130434783
Sunday,6,14,25.97520833333333
Sunday,6,15,25.98125
Sunday,6,16,25.961458333333336
Sunday,6,17,25.668958333333336
Sunday,6,18,24.842750000000002
Sunday,6,19,25.0575
Sunday,6,20,24.815531914893615
Sunday,6,21,24.595714285714287
Sunday,6,22,24.524117647058826
Sunday,6,23,24.378823529411765
