day_name,day,hour,ta
Wednesday,2,12,22.113
Wednesday,2,13,21.995
Wednesday,2,14,21.910833333333333
Wednesday,2,15,21.954166666666666
Wednesday,2,16,21.951666666666668
Wednesday,2,17,21.971666666666668
Wednesday,2,18,21.951666666666668
Wednesday,2,19,21.9425
Wednesday,2,20,21.870833333333334
Wednesday,2,21,21.781666666666666
Wednesday,2,22,21.731666666666666
Wednesday,2,23,21.6925
Thursday,3,0,21.69
Thursday,3,1,21.698333333333334
Thursday,3,2,21.608333333333334
Thursday,3,3,21.4375
Thursday,3,4,21.243333333333332
Thursday,3,5,21.065
Thursday,3,6,20.965
Thursday,3,7,20.8225
Thursday,3,8,20.953333333333333
Thursday,3,9,21.2975
Thursday,3,10,21.566
Friday,4,15,23.362499999999997
