date,comfortable,too_cold,too_hot
2019-05-25,83.62,0.0,16.38
2019-05-26,83.23,0.0,16.77
2019-05-27,99.85,0.0,0.15
2019-05-28,97.62,2.38,0.0
2019-05-29,100.0,0.0,0.0
2019-05-30,93.85,6.15,0.0
2019-05-31,90.71,9.29,0.0
