hour,mean,std,min,max,count
0,23.3,0.4,22.4,23.92,192
1,23.25,0.41,22.31,23.92,192
2,23.2,0.42,22.23,23.91,191
3,23.15,0.44,22.14,23.91,192
4,23.1,0.45,22.09,23.9,192
5,23.05,0.46,22.05,23.88,192
6,23.0,0.47,22.03,23.87,192
7,22.71,0.43,22.04,23.73,192
8,22.53,0.36,22.06,23.41,192
9,22.62,0.36,22.1,23.5,192
10,22.81,0.37,22.26,23.59,192
11,22.95,0.37,22.39,23.79,191
12,23.07,0.38,22.43,23.92,179
13,23.17,0.42,22.47,24.06,168
14,23.28,0.44,22.51,24.19,163
15,23.42,0.52,22.69,24.91,170
16,23.36,0.57,22.59,25.11,183
17,23.25,0.61,22.44,24.47,178
18,23.09,0.71,22.24,24.45,180
19,23.08,0.68,22.24,24.42,180
20,23.26,0.51,22.57,24.32,180
21,23.32,0.42,22.68,24.19,180
22,23.34,0.38,22.59,24.0,180
23,23.31,0.37,22.49,23.88,181
