hour,mean,std,min,max,count
0,23.61,0.42,22.59,24.71,301
1,23.54,0.42,22.49,24.6,302
2,23.48,0.42,22.4,24.49,300
3,23.42,0.42,22.34,24.41,300
4,23.37,0.42,22.29,24.33,300
5,23.31,0.42,22.25,24.26,301
6,23.26,0.41,22.25,24.2,303
7,23.0,0.43,21.8,23.88,290
8,22.98,0.48,21.64,24.3,290
9,23.36,0.57,21.67,24.76,293
10,23.78,0.6,22.14,25.31,290
11,23.86,0.62,22.52,25.81,347
12,23.98,0.73,22.57,25.99,286
13,24.03,0.68,23.09,26.1,279
14,24.09,0.73,23.11,26.13,282
15,24.13,0.75,22.43,26.11,287
16,24.06,0.82,22.5,26.13,294
17,23.81,0.9,22.46,25.96,289
18,23.45,0.93,22.08,25.75,347
19,23.48,0.86,22.09,25.55,288
20,23.7,0.62,22.62,25.29,289
21,23.75,0.51,22.84,25.12,288
22,23.79,0.47,22.75,24.95,229
23,23.73,0.45,22.67,24.81,229
