hour,mean,std,min,max,count
0,24.55,0.57,22.88,25.73,372
1,24.49,0.56,22.84,25.65,372
2,24.44,0.56,22.79,25.59,373
3,24.39,0.55,22.8,25.48,371
4,24.35,0.55,22.73,25.42,371
5,24.16,0.6,22.29,25.34,373
6,23.88,0.64,22.04,25.16,372
7,23.66,0.63,21.87,25.22,371
8,23.83,0.57,22.11,25.34,375
9,24.2,0.51,22.75,25.57,372
10,24.43,0.51,22.84,25.93,373
11,24.53,0.56,23.52,26.24,437
12,24.5,0.67,23.73,26.42,374
13,24.53,0.77,23.69,26.52,360
14,24.52,0.89,23.57,26.61,362
15,24.53,1.01,23.45,26.78,360
16,24.47,1.14,23.09,26.89,373
17,24.14,1.28,21.65,26.72,377
18,24.06,1.31,21.42,26.68,444
19,24.08,1.21,21.75,26.5,372
20,24.43,1.04,21.48,26.4,373
21,24.6,0.81,21.88,26.33,373
22,24.58,0.69,22.54,26.07,305
23,24.54,0.64,22.83,25.88,303
