hour,mean,std,min,max,count
0,24.62,0.52,23.25,25.59,335
1,24.57,0.49,23.37,25.49,336
2,24.53,0.47,23.38,25.42,336
3,24.49,0.45,23.37,25.38,337
4,24.45,0.44,23.27,25.29,337
5,24.39,0.44,23.22,25.23,337
6,24.23,0.44,23.0,25.05,334
7,24.0,0.45,22.76,24.97,336
8,24.0,0.42,22.8,25.02,340
9,24.16,0.39,23.15,25.08,337
10,24.26,0.43,22.37,25.33,340
11,24.29,0.49,23.45,25.58,335
12,24.33,0.58,23.3,25.77,334
13,24.39,0.66,23.43,25.86,338
14,24.47,0.73,23.81,26.02,338
15,24.52,0.81,23.72,26.14,345
16,24.45,0.89,23.6,26.21,351
17,24.27,1.05,21.1,26.28,352
18,24.04,1.26,20.79,26.22,349
19,24.18,1.17,20.89,26.14,349
20,24.43,1.07,20.63,26.0,348
21,24.59,0.75,21.93,25.85,349
22,24.68,0.59,22.95,25.72,348
23,24.64,0.55,23.21,25.67,347
