hour,mean,std,min,max,count
0,23.57,0.54,22.38,24.63,373
1,23.45,0.56,22.12,24.54,372
2,23.34,0.59,21.96,24.53,373
3,23.25,0.6,21.83,24.49,374
4,23.17,0.62,21.69,24.5,373
5,23.14,0.65,21.67,24.62,372
6,23.12,0.68,21.81,24.64,371
7,22.95,0.57,21.62,24.44,372
8,23.0,0.45,21.58,24.0,373
9,23.29,0.39,22.09,24.5,372
10,23.49,0.5,22.78,25.12,372
11,23.64,0.68,22.73,25.75,372
12,23.71,0.84,22.81,26.1,371
13,23.79,0.97,22.82,26.17,361
14,23.86,1.04,22.76,26.16,360
15,23.89,1.09,22.64,26.19,368
16,23.84,1.1,22.72,26.2,374
17,23.66,1.09,22.56,26.06,374
18,23.5,1.04,22.29,25.75,373
19,23.59,0.83,22.53,25.48,373
20,23.79,0.58,23.0,25.24,372
21,23.8,0.51,22.96,25.0,372
22,23.73,0.49,22.82,24.79,373
23,23.62,0.5,22.65,24.62,371
