hour,mean,std,min,max,count
0,21.07,0.02,21.04,21.1,12
1,21.08,0.01,21.06,21.1,12
2,20.99,0.05,20.91,21.05,12
3,20.82,0.05,20.74,20.88,12
4,20.63,0.06,20.51,20.71,12
5,20.43,0.05,20.38,20.51,12
6,20.33,0.05,20.24,20.37,12
7,20.21,0.02,20.19,20.25,12
8,20.34,0.07,20.24,20.47,12
9,20.72,0.14,20.46,20.92,12
10,21.0,0.04,20.95,21.05,6
12,21.5,0.06,21.43,21.63,10
13,21.32,0.05,21.25,21.39,12
14,21.24,0.02,21.21,21.28,12
15,21.56,0.86,21.29,24.43,13
16,21.6,0.95,21.3,24.77,13
17,21.38,0.01,21.36,21.41,12
18,21.35,0.03,21.31,21.4,12
19,21.33,0.02,21.3,21.37,12
20,21.23,0.03,21.17,21.3,12
21,21.14,0.01,21.12,21.16,12
22,21.1,0.01,21.07,21.11,12
23,21.06,0.02,21.04,21.09,12
