week_start,comfortable,too_cold
2019-06-10,100.0,0.0
2019-06-17,99.41,0.59
2019-06-24,99.7,0.3
2019-07-01,100.0,0.0
2019-07-08,100.0,0.0
2019-07-15,100.0,0.0
2019-07-22,100.0,0.0
2019-07-29,100.0,0.0
