week_start,comfortable,too_hot
2019-07-15,97.03,2.97
2019-07-22,98.16,1.84
2019-07-29,100.0,0.0
2019-08-05,100.0,0.0
2019-08-12,99.85,0.15
2019-08-19,96.03,3.97
2019-08-26,100.0,0.0
2019-09-02,100.0,0.0
