date,comfortable,too_cold,too_hot
2019-05-25,92.17,7.83,0.0
2019-05-26,100.0,0.0,0.0
2019-05-27,88.66,0.0,11.34
2019-05-28,94.24,5.76,0.0
2019-05-29,100.0,0.0,0.0
2019-05-30,100.0,0.0,0.0
2019-05-31,59.5,40.5,0.0
