week_start,excellent,fair
2019-06-10,79.32,20.68
2019-06-17,71.86,28.14
2019-06-24,74.74,25.26
2019-07-01,63.99,36.01
2019-07-08,74.48,25.52
2019-07-15,70.68,29.32
2019-07-22,76.69,23.31
2019-07-29,78.63,21.37
