week_start,excellent,fair
2019-07-15,88.0,12.0
2019-07-22,65.69,34.31
2019-07-29,70.61,29.39
2019-08-05,77.65,22.35
2019-08-12,72.0,28.0
2019-08-19,72.34,27.66
2019-08-26,70.91,29.09
2019-09-02,56.72,43.28
