week_start,excellent,fair,needs_improvement
2019-11-11,93.33,6.67,0.0
2019-11-18,68.13,31.87,0.0
2019-11-25,83.61,16.39,0.0
2019-12-02,62.38,37.44,0.18
2019-12-09,89.74,10.26,0.0
2019-12-16,84.17,15.16,0.66
2019-12-23,100.0,0.0,0.0
2019-12-30,97.94,2.06,0.0
