week_start,excellent,fair,needs_improvement
2019-11-11,80.01,19.92,0.07
2019-11-18,64.41,33.4,2.19
2019-11-25,67.96,30.0,2.04
2019-12-02,69.91,28.73,1.35
2019-12-09,62.03,34.74,3.23
2019-12-16,68.69,30.47,0.84
2019-12-23,96.48,3.52,0.0
2019-12-30,91.84,8.16,0.0
