week_start,excellent,fair
2019-08-12,100.0,0.0
2019-08-19,77.86,22.14
2019-08-26,82.36,17.64
2019-09-02,90.1,9.9
2019-09-09,84.47,15.53
2019-09-16,81.01,18.99
2019-09-23,89.48,10.52
2019-09-30,86.1,13.9
