month,comfortable,too_cold,too_hot
2019-01,61.3,0.0,38.7
2019-02,54.91,0.0,45.09
2019-03,80.85,0.0,19.15
2019-05,87.69,11.97,0.34
2019-10,98.48,0.0,1.52
2019-11,100.0,0.0,0.0
2019-12,100.0,0.0,0.0
