month,comfortable,too_cold,too_hot
2019-01,79.13,0.0,20.87
2019-02,86.7,0.0,13.3
2019-03,91.73,0.0,8.27
2019-04,93.42,0.0,6.58
2019-05,99.16,0.57,0.27
2019-10,94.1,0.0,5.9
2019-11,91.46,0.0,8.54
2019-12,77.75,0.0,22.25
